"merchant","industry","first_charge_date","country","business_size"
"5d03e714","Education","2032-02-13 00:00:00+00:00","US","medium"
"da22f154","Others","2031-10-16 00:00:00+00:00","US","small"
"687eebc8","Software","2032-07-23 00:00:00+00:00","US","small"
"de478470","Software","2033-03-15 00:00:00+00:00","US","small"
"1e719b8a","Business services","2035-02-12 00:00:00+00:00","IT","small"
"15f61630","Software","2032-05-27 00:00:00+00:00","US","small"
"cede5ccf","Software","2032-03-27 00:00:00+00:00","US","small"
"11f1600c","Software","2039-02-28 00:00:00+00:00","US","small"
"ef38009f","Software","2032-01-27 00:00:00+00:00","US","large"
"a8120205","Software","2032-03-16 00:00:00+00:00","US","small"
"c6a8d5f6","Electronics","2033-03-16 00:00:00+00:00","US","small"
"7b74f587","Software","2032-07-05 00:00:00+00:00","US","small"
"bca92c20","Education","2033-04-12 00:00:00+00:00","US","large"
"3e103224","Others","2033-11-12 00:00:00+00:00","US","small"
"9639f135","Others","2037-01-09 00:00:00+00:00","US","small"
"e95b3f42","Personal services","2032-12-03 00:00:00+00:00","US","small"
"228f5de6","Education","2032-10-11 00:00:00+00:00","US","small"
"8c1c5b9b","Business services","2033-09-03 00:00:00+00:00","US","small"
"b98c1079","Software","2032-10-12 00:00:00+00:00","US","small"
"2902587d","Software","2033-09-16 00:00:00+00:00","CA","small"
"ea2296a3","Others","2033-03-22 00:00:00+00:00","US","small"
"f131125a","Software","2033-01-28 00:00:00+00:00","US","small"
"527b096d","Digital goods","2040-06-29 00:00:00+00:00","GB","small"
"c382847f","Business services","2033-03-15 00:00:00+00:00","US","small"
"d2da8409","Software","2033-08-06 00:00:00+00:00","US","small"
"73de0b2b","Religion, politics & other memberships","2032-11-20 00:00:00+00:00","US","small"
"440bb7ed","Merchandise","2032-12-07 00:00:00+00:00","US","small"
"ff0f10db","Software","2033-04-23 00:00:00+00:00","CA","small"
"98026d57","Software","2034-04-05 00:00:00+00:00","GB","small"
"7ae879f1","Personal services","2034-12-14 00:00:00+00:00","CA","small"
"d6311a65","Education","2034-08-11 00:00:00+00:00","US","small"
"cda65088","Software","2033-10-10 00:00:00+00:00","GB","small"
"e99b732e","Business services","2034-02-25 00:00:00+00:00","US","small"
"3248de01","Others","2033-10-18 00:00:00+00:00","US","small"
"69922557","Business services","2041-01-08 00:00:00+00:00","NL","small"
"fcb105e3","Others","2035-05-02 00:00:00+00:00","US","small"
